end,y,delta,delta_window,c_max_fa,c_max_re,c_max_fo,c_max,c_w_max,c_min_fa,c_min_re,c_min_fo,c_min,c_w_min,c_avg,c_w_avg,fa_avg,re_avg,fo_avg,c_med,c_big_c,c_big_fa,c_big_re,c_big_fo,c_small_c,c_small_fa,c_small_re,c_small_fo,fa_big_c,re_big_c,fo_big_c,c_max_fa_window,c_max_re_window,c_max_fo_window,c_max_window,c_w_max_window,c_min_fa_window,c_min_re_window,c_min_fo_window,c_min_window,c_w_min_window,c_avg_window,c_w_avg_window,fa_avg_window,re_avg_window,fo_avg_window,c_med_window,c_big_c_window,c_big_fa_window,c_big_re_window,c_big_fo_window,c_small_c_window,c_small_fa_window,c_small_re_window,c_small_fo_window,fa_big_c_window,re_big_c_window,fo_big_c_window
03071250,-5.3,-5.3,-38.3,0,31,112,0.9001,2.7814808963257915,0,84,28,-0.5859,-1.6531627693693334,0.06257000000000001,0.3857714618141979,2.6,38.3,3579.9,0.22555,0.4897666666666667,8.333333333333334,11.333333333333334,9475.666666666666,-0.37729999999999997,0.0,34.333333333333336,1680.3333333333333,1.1560387462494057,0.6205781027787317,0.7675817787222196,0,0,10,0.9321,0.0,0,14,203,-0.743,-2.018237537709756,0.24977837837837838,0.5815873679346828,1.1891891891891893,25.83783783783784,6307.486486486487,0.29600000000000004,0.651475,2.1666666666666665,17.5,13133.833333333334,-0.12450833333333333,0.08333333333333333,18.666666666666668,4886.333333333333,1.0622828156844626,0.6433599077391211,0.6837981042620535
03071300,-17.4,-5.3,-10.7,0,34,232,0.8176,2.988621213647523,0,11,5,-0.4767,-0.40031656470240984,0.08646,0.4528462358363294,0.1,32.0,9993.5,0.09905,0.4658,0.0,96.33333333333333,30398.0,-0.38820000000000005,0.0,6.666666666666667,1851.6666666666667,0.4824170856734755,1.718022053820225,0.4286352837014224,0,31,112,0.9001,2.7814808963257915,0,14,203,-0.743,-2.018237537709756,0.117575,0.48927743268017365,1.15625,24.96875,8665.375,0.1779,0.53906,3.1,36.8,24314.3,-0.36521,0.1,13.8,1978.0,0.96431880221469,0.8355944449003484,0.7236971131248066
03071310,-2.1,-17.4,-22.8,0,0,119,0.7506,0.0,0,0,26,-0.7096,-0.0,0.049194117647058826,-0.30212914900486554,29.41176470588235,6.9411764705882355,7983.941176470588,-0.0448,0.29188000000000003,0.2,3.8,309.8,-0.28266,99.8,19.4,26220.6,-1.5243995939170951,-0.8970061002757974,-1.4822841786053047,0,31,112,0.9001,2.7814808963257915,0,0,26,-0.7096,-0.0,0.06288108108108108,0.08783733630871782,14.243243243243244,22.18918918918919,7336.783783783784,0.1779,0.4212,2.3333333333333335,48.75,10258.083333333334,-0.31288333333333335,41.583333333333336,18.5,11996.75,-0.268383131405836,0.1686180579377623,-0.39296607392255783
03071320,-25.0,-2.1,-19.6,0,0,63,0.7964,0.0,0,0,117,-0.3818,-0.0,0.17702222222222222,0.1639598875937495,0.0,28.88888888888889,1167.3333333333333,0.1779,0.0381,0.0,86.0,188.66666666666666,0.07503333333333334,0.0,0.6666666666666666,333.3333333333333,0.1639598875937495,0.5649027782664867,-0.027612201621259064,0,34,232,0.8176,2.988621213647523,0,0,26,-0.7096,-0.0,0.09150277777777777,0.024108494822897935,13.916666666666666,19.38888888888889,6838.0,0.09905,0.2851666666666667,0.16666666666666666,48.083333333333336,7788.166666666667,-0.2879833333333333,41.583333333333336,10.083333333333334,11661.416666666666,-1.123036257998981,0.1016215433359464,-0.45014886363016937
03071330,9.3,-25.0,-27.1,0,49,13,0.7717,1.5026829115457023,0,45,4772,-0.4466,-2.7318250773637107,0.13960833333333333,0.29746663913270427,0.4166666666666667,82.41666666666667,728.1666666666666,0.1779,0.431725,1.25,135.0,564.25,-0.2554,0.0,37.0,1289.5,1.1975072689411161,1.246211989595066,0.15212629205000397,0,0,63,0.7964,0.0,0,0,26,-0.7096,-0.0,0.10802105263157895,-0.0023936019775399114,13.289473684210526,35.973684210526315,4078.184210526316,0.1779,0.3293,0.4166666666666667,94.0,417.4166666666667,-0.2144,41.583333333333336,19.666666666666668,11625.333333333334,-0.9800182213454528,-0.13575307750759433,-0.43219698876259893
03071340,-22.5,9.3,-15.7,0,442,3444797,0.6416,11.099663661193604,0,84,644,-0.5859,-3.176057082427621,-0.019922222222222223,0.7134691316220217,0.2222222222222222,84.27777777777777,196204.88888888888,0.1779,0.3910666666666667,0.6666666666666666,159.0,584718.0,-0.4867333333333333,0.0,49.666666666666664,3663.3333333333335,1.5129932380863773,1.9150677020511004,2.088195450332074,0,0,63,0.7964,0.0,0,84,644,-0.5859,-3.176057082427621,0.0746128205128205,0.45865853915724586,0.23076923076923078,70.92307692307692,91049.53846153847,0.1779,0.3716153846153846,0.6923076923076923,153.30769230769232,270131.53846153844,-0.3432692307692307,0.0,33.46153846153846,642.7692307692307,1.3552502535137467,0.8971701531699381,0.9937391172105189
03071350,-36.2,-22.5,-13.2,0,31,337,0.9001,3.426139664827844,0,14,807,-0.743,-2.540600148299428,0.062233333333333335,-0.006901836458101062,1.0555555555555556,43.27777777777778,1485.0,0.1779,0.4221333333333333,2.6666666666666665,50.833333333333336,931.1666666666666,-0.36345,0.0,38.0,697.8333333333334,1.1544830160020851,-0.4806680601891238,-0.32096637265626254,0,31,337,0.9001,3.426139664827844,0,14,807,-0.743,-2.540600148299428,0.05076875,0.3393293954696463,0.5833333333333334,68.4375,74315.75,0.1779,0.40536875,1.0625,127.125,219799.0625,-0.4883375,0.0,41.3125,1309.0,1.2347899110067497,0.4198200095411706,0.8249753352864335
03071400,-34.5,-36.2,-58.6,213,38,36427,0.7579,9.221683172790357,0,14,53,-0.743,-1.513827696520608,0.043,0.6356499029804931,416.17391304347825,69.6086956521739,1099384.956521739,0.1779,0.3478428571428571,1362.142857142857,96.14285714285714,3610718.0,-0.4728,5.285714285714286,20.714285714285715,1097.142857142857,2.370564033179652,0.8349259060487783,1.879304889628163,0,31,337,0.9001,3.426139664827844,0,14,807,-0.743,-2.540600148299428,0.029671186440677965,0.46335862850003245,162.6271186440678,66.05084745762711,488885.9661016949,0.1779,0.3786263157894737,502.4736842105263,114.05263157894737,1515239.6842105263,-0.49375263157894733,1.9473684210526316,35.31578947368421,2321.0526315789475,1.8699180502212103,0.4498149195614449,1.4176087250462963
03071410,4.7,-34.5,-70.5,0,34,148,0.8176,2.743495612678952,2,0,1613,-0.5267,-1.1809816690710448,0.13820909090909092,1.1613660005539614,96.18181818181819,7.181818181818182,2296925.5454545454,0.0258,0.5235333333333333,341.6666666666667,24.666666666666668,8413030.666666666,-0.3727,0.6666666666666666,0.3333333333333333,1412.3333333333333,3.018275761664045,2.819491690808716,1.9251810638671547,0,31,337,0.9001,3.426139664827844,0,14,807,-0.743,-2.540600148299428,0.06979807692307692,0.524437321507675,204.78846153846155,47.28846153846154,972668.5576923077,0.1779,0.4164,622.5294117647059,75.17647058823529,2971806.8235294116,-0.42716470588235295,2.2941176470588234,22.0,917.3529411764706,1.8311680058519344,1.2403549559584564,1.2767262051490795
03071420,6.5,4.7,-29.8,0,19,427,0.3182,1.089385471028849,0,45,499,-0.4466,-2.0042217865410916,-0.06938888888888889,-0.258292798823613,0.0,14.0,779.0,-0.2023,0.02313333333333334,0.0,6.666666666666667,1049.6666666666667,-0.3149666666666667,0.0,35.0,305.3333333333333,-0.258292798823613,-0.5062443055110305,-0.77769628737133,0,34,148,0.8176,2.743495612678952,0,14,53,-0.743,-1.513827696520608,0.043832558139534884,0.5830311298891255,247.2093023255814,42.0,1175791.7674418604,0.1779,0.39289999999999997,754.7857142857143,73.57142857142857,3608265.0714285714,-0.3582642857142857,2.7857142857142856,18.0,1014.5714285714286,2.0157184576291662,1.5947032032510016,1.4829054642571144
