end,y,delta,delta_window,c_max_fa,c_max_re,c_max_fo,c_max,c_w_max,c_min_fa,c_min_re,c_min_fo,c_min,c_w_min,c_avg,c_w_avg,fa_avg,re_avg,fo_avg,c_med,c_big_c,c_big_fa,c_big_re,c_big_fo,c_small_c,c_small_fa,c_small_re,c_small_fo,fa_big_c,re_big_c,fo_big_c,c_max_fa_window,c_max_re_window,c_max_fo_window,c_max_window,c_w_max_window,c_min_fa_window,c_min_re_window,c_min_fo_window,c_min_window,c_w_min_window,c_avg_window,c_w_avg_window,fa_avg_window,re_avg_window,fo_avg_window,c_med_window,c_big_c_window,c_big_fa_window,c_big_re_window,c_big_fo_window,c_small_c_window,c_small_fa_window,c_small_re_window,c_small_fo_window,fa_big_c_window,re_big_c_window,fo_big_c_window
03061500,-7.0,-2.8,4.2,0,0,17,0.8909999999999999,0.0,0,61,3,0.4588,0.49510361672634734,0.6255,0.7561449125695713,0.3333333333333333,20.333333333333332,3797660.0,0.5267,0.5267,1.0,0.0,11392960.0,0.8909999999999999,0.0,0.0,17.0,1.7733311209823663,0.49510361672634734,1.7733311209823663,0,0,17,0.8909999999999999,0.0,0,46,1553,-0.5994,-3.198649191953119,0.45231333333333335,0.3843363247132073,0.26666666666666666,7.6,1520383.8,0.5106,0.57128,0.8,0.4,4559515.2,0.28956,0.0,9.2,403.6,1.4620557149252982,-0.18841655358321804,0.4891649613578464
03061510,-2.8,-7.0,-9.8,0,61,47,0.4588,1.3825675666940347,1,2,3122,-0.4728,-1.1548617504217744,-0.013437500000000005,-0.05271268513036314,2.625,8.125,2848721.5,0.0305,0.31215,5.5,30.5,5696503.5,-0.34955,2.5,1.5,5698041.0,-0.0032956015056414545,0.11385290813613014,-0.0032956015056414545,0,0,17,0.8909999999999999,0.0,1,2,3122,-0.4728,-1.1548617504217744,0.23891538461538459,0.1792901039530156,1.6923076923076923,9.76923076923077,2629496.0,0.2023,0.40245,3.0,30.5,5696492.5,-0.265525,2.5,1.0,2849126.5,-0.16235182432879136,0.30171188193050036,0.15296954188732725
03061520,1.4,-2.8,-9.8,2,1,2190,0.9073,2.3585490716803448,3,0,11392960,-0.2263,-1.349551312682222,0.5094666666666667,1.5797089330048877,2.6666666666666665,0.2222222222222222,7595566.0,0.6705,0.8419,5.333333333333333,0.3333333333333333,7596036.666666667,0.1343,1.3333333333333333,0.0,7595316.666666667,2.2074513294629283,1.5153703386427444,4.19096918238368,2,1,2190,0.9073,2.3585490716803448,1,2,3122,-0.4728,-1.1548617504217744,0.31771,0.8032056826854899,2.3,6.4,5127142.3,0.41000000000000003,0.6480666666666667,4.833333333333333,0.16666666666666666,9494498.333333334,-0.22333333333333336,2.3333333333333335,0.6666666666666666,3798249.3333333335,1.0796825258361313,0.16321552928830915,1.7593657800925984
03061530,12.6,1.4,-1.4,1,0,11392960,0.6369,2.1443603397639444,0,0,28,-0.8402,-0.0,-0.14319999999999997,0.460812453816442,0.6666666666666666,0.0,7595316.0,-0.2263,0.6369,1.0,0.0,11392960.0,-0.2263,1.0,0.0,11392960.0,2.1443603397639444,0.460812453816442,2.1443603397639444,2,1,2190,0.9073,2.3585490716803448,0,0,28,-0.8402,-0.0,0.202405,0.7589058138725205,2.35,3.35,5696790.7,0.1839,0.6664333333333333,4.833333333333333,0.16666666666666666,9494498.333333334,-0.25245,2.3333333333333335,0.6666666666666666,5697071.0,1.0796825258361313,0.19273019410144196,1.3673243400410542
03061540,8.4,12.6,14.0,1,0,11392960,0.8807,2.9652035660701928,0,1,466,-0.7003,-0.5627221776225209,0.37041250000000003,1.003927744617341,0.5,7.75,5696634.0,0.54785,0.79955,1.0,0.0,11392960.0,0.06564999999999999,0.0,0.5,425.0,2.6919819589547207,0.5997922792805274,2.6919819589547207,2,1,2190,0.9073,2.3585490716803448,0,0,28,-0.8402,-0.0,0.355945,1.181561985771602,1.5,3.2,6835955.7,0.6309,0.7992166666666667,3.1666666666666665,0.16666666666666666,9494498.333333334,0.042,0.8333333333333334,0.16666666666666666,5696626.666666667,1.4901395485724702,1.057581308961636,1.2099413211385923
03061550,-15.4,8.4,21.1,11,0,11392960,0.765,7.35105215363084,1,0,603,-0.29600000000000004,-0.39275998273868645,0.1617714285714286,1.0620934110780857,2.857142857142857,0.14285714285714285,6510560.714285715,0.0772,0.58345,7.5,0.0,5696886.0,-0.26115,2.5,0.5,636.5,4.233550583299764,-0.6396873063142429,3.67552607681542,1,0,11392960,0.8807,2.9652035660701928,0,0,28,-0.8402,-0.0,0.20367222222222223,0.9360285108852585,1.4444444444444444,3.5,6329608.055555556,0.30815,0.6436166666666666,3.0,10.166666666666666,7595465.0,-0.41923333333333335,1.0,0.3333333333333333,3797947.8333333335,1.8536191088828504,0.18663241741560396,1.8396854882302238
03071000,-21.1,0.0,-32.3,0,2,659,0.5267,0.7085507280164964,2,0,394,-0.34,-0.6170807842842332,0.03649999999999997,0.03048998124408775,0.6666666666666666,0.6666666666666666,354.6666666666667,-0.0772,0.5267,0.0,2.0,659.0,-0.34,2.0,0.0,394.0,-0.6170807842842332,0.7085507280164964,0.7085507280164964,0,0,917,0.902,0.0,2,0,394,-0.34,-0.6170807842842332,0.35656,0.20808370347674826,0.6,0.4,471.8,0.5267,0.7713,1.0,0.0,378.0,-0.34,2.0,0.0,394.0,-0.6170807842842332,0.7085507280164964,0.0
03071010,-19.8,-21.1,-21.1,0,0,340,0.8658,0.0,0,0,694,0.4767,0.0,0.68525,0.11167767244387185,0.0,0.25,1385.0,0.6992499999999999,0.5859,0.0,1.0,340.0,0.4767,0.0,0.0,694.0,0.11167767244387185,0.4467106897754874,0.0,0,0,917,0.902,0.0,2,0,394,-0.34,-0.6170807842842332,0.4690625,0.06727257918846882,0.25,0.375,940.125,0.5563,0.5563,0.0,1.5,499.5,0.06835,1.0,0.0,544.0,-0.6170807842842332,0.5776307088959919,0.0
03071020,9.9,-19.8,-40.8,0,0,1238,0.6369,0.0,0,0,575,-0.25,-0.0,0.22102,0.30825930083689446,1.2,0.4,3953.4,0.2263,0.2263,5.0,2.0,17196.0,0.09,0.0,0.0,464.0,1.0676957038048975,1.0676957038048975,1.0676957038048975,0,0,340,0.8658,0.0,2,0,394,-0.34,-0.6170807842842332,0.32963333333333333,0.1732897614743519,0.6666666666666666,0.4166666666666667,2197.5833333333335,0.4393,0.4352,1.5,1.25,4622.25,0.034225,0.5,0.0,667.75,0.308071906633413,0.7409857071989605,0.2669239259512244
03071030,2.8,9.9,-9.9,2,0,1254,0.873,1.8907949231244199,3,0,0,0.3612,0.0,0.6839333333333334,0.840477295466668,1.6666666666666667,0.3333333333333333,539.3333333333334,0.8176,0.873,2.0,0.0,1254.0,0.3612,3.0,0.0,0.0,0.0,0.6306369632755844,1.8907949231244199,2,0,1254,0.873,1.8907949231244199,0,0,575,-0.25,-0.0,0.49149166666666666,0.375786590029997,0.9166666666666666,0.3333333333333333,2243.75,0.5313,0.5797,2.0,0.75,4777.0,0.20952500000000002,0.75,0.0,569.25,0.858022856827223,0.7150144522853231,0.7396226567323294
